age,is_corporate,total_balance,has_active_loan,recent_tx_count,product_name
71,0,57395458,1,22,BankScope 직장인 신용 대출
76,0,45558541,0,28,BankScope 시니어 플러스 예금
22,0,63129040,0,25,Scope 긴급 생활안정 대출
56,1,76910625,0,21,BankScope 법인 시설자금 대출
70,0,30092782,0,14,Scope 긴급 생활안정 대출
26,0,59132229,0,8,Scope 청년 드림 적금
40,0,17288429,0,25,BankScope 프리미엄 정기예금
28,0,4709042,0,16,Scope 청년 드림 적금
58,0,96884327,0,8,BankScope 직장인 우대 적금
37,0,20632290,0,2,BankScope 복리 자산 예금
23,0,40184551,1,15,BankScope 직장인 신용 대출
44,0,99251503,0,12,BankScope 복리 자산 예금
79,0,80649038,1,25,BankScope 직장인 신용 대출
33,0,39812302,1,16,BankScope 직장인 신용 대출
69,0,82251663,1,31,Scope 재테크 챌린지 적금
77,0,96732640,1,23,BankScope 시니어 플러스 예금
28,0,73730450,0,35,Scope 청년 드림 적금
45,1,6761444,1,21,BankScope 법인 시설자금 대출
72,1,84789233,1,8,BankScope 법인 단기 예금
21,0,74981186,1,21,Scope 청년 드림 적금
39,0,55875459,0,40,Scope 재테크 챌린지 적금
47,0,25179722,1,49,BankScope 직장인 신용 대출
66,1,59648232,0,45,BankScope 법인 시설자금 대출
79,0,85015456,0,19,BankScope 시니어 플러스 예금
26,0,41633051,0,2,BankScope 복리 자산 예금
63,0,69577183,0,35,BankScope 시니어 플러스 예금
27,0,57573240,1,32,Scope 청년 드림 적금
66,0,94349320,0,17,BankScope 시니어 플러스 예금
54,0,18559690,0,35,Scope 재테크 챌린지 적금
33,0,71434032,1,9,Scope 청년 드림 적금
36,0,54488666,0,35,Scope 재테크 챌린지 적금
55,0,7492427,0,20,BankScope 시니어 플러스 예금
69,0,5705365,0,24,Scope 재테크 챌린지 적금
59,0,98058724,0,48,Scope 긴급 생활안정 대출
23,0,29590932,0,39,Scope 청년 드림 적금
21,0,95565264,0,8,BankScope 복리 자산 예금
25,0,57868983,0,47,Scope 청년 드림 적금
73,0,29284508,0,26,Scope 긴급 생활안정 대출
61,1,43176500,1,14,BankScope 법인 시설자금 대출
23,0,83425063,0,31,Scope 청년 드림 적금
73,0,93400849,0,47,BankScope 시니어 플러스 예금
48,0,60220590,0,43,BankScope 복리 자산 예금
37,1,20047091,1,49,BankScope 법인 시설자금 대출
45,0,91241740,1,38,Scope 재테크 챌린지 적금
63,0,61205402,0,15,Scope 재테크 챌린지 적금
53,0,91485629,0,27,Scope 긴급 생활안정 대출
29,0,90071135,0,5,Scope 청년 드림 적금
55,0,18216808,0,5,Scope 긴급 생활안정 대출
33,0,82048898,0,37,Scope 청년 드림 적금
50,0,99441986,0,46,Scope 재테크 챌린지 적금
67,0,4468298,0,1,BankScope 시니어 플러스 예금
34,0,56334509,1,40,BankScope 복리 자산 예금
27,0,35541321,0,39,BankScope 복리 자산 예금
33,0,57547771,1,6,Scope 청년 드림 적금
42,0,2453664,0,26,Scope 재테크 챌린지 적금
79,0,64987014,0,27,BankScope 시니어 플러스 예금
76,0,49307790,0,15,BankScope 시니어 플러스 예금
59,0,14626073,0,46,Scope 재테크 챌린지 적금
40,0,91937674,0,8,BankScope 직장인 우대 적금
35,1,22700671,0,14,BankScope 법인 시설자금 대출
64,0,3567269,0,33,Scope 비상금 소액 대출
37,0,53607669,0,19,BankScope 복리 자산 예금
66,0,80117961,0,13,BankScope 시니어 플러스 예금
72,0,34155540,0,10,BankScope 시니어 플러스 예금
43,0,89115741,1,29,Scope 재테크 챌린지 적금
45,0,19295239,0,2,Scope 긴급 생활안정 대출
44,0,41644503,0,1,BankScope 복리 자산 예금
79,0,12664146,0,49,BankScope 시니어 플러스 예금
79,0,16382210,0,13,BankScope 시니어 플러스 예금
79,0,52700046,0,28,Scope 재테크 챌린지 적금
64,0,60419448,0,4,Scope 긴급 생활안정 대출
60,0,23042601,0,43,BankScope 시니어 플러스 예금
48,0,51270705,0,45,Scope 재테크 챌린지 적금
34,0,26298479,0,5,Scope 청년 전세 대출
64,1,41285777,0,7,BankScope 법인 시설자금 대출
20,1,42561765,0,38,BankScope 법인 단기 예금
44,0,5859824,0,38,Scope 재테크 챌린지 적금
26,0,33934877,1,43,BankScope 직장인 신용 대출
28,0,94020044,0,28,BankScope 복리 자산 예금
43,0,11585761,1,38,Scope 비상금 소액 대출
20,0,32038970,0,43,Scope 긴급 생활안정 대출
63,0,75953227,0,26,Scope 재테크 챌린지 적금
27,0,60500395,0,15,Scope 청년 드림 적금
43,0,27628247,1,26,Scope 재테크 챌린지 적금
30,0,33268867,0,38,Scope 청년 드림 적금
70,0,89021347,0,39,Scope 재테크 챌린지 적금
36,0,24953329,0,0,BankScope 복리 자산 예금
27,0,18029359,1,44,Scope 청년 드림 적금
54,0,99185549,0,32,BankScope 복리 자산 예금
54,0,91487824,0,49,Scope 재테크 챌린지 적금
52,0,41858352,0,38,Scope 재테크 챌린지 적금
78,0,44505154,0,26,Scope 재테크 챌린지 적금
24,0,22753509,0,16,Scope 청년 드림 적금
61,0,7527382,0,14,Scope 비상금 소액 대출
58,0,19214668,0,21,BankScope 시니어 플러스 예금
77,0,25595784,0,18,BankScope 시니어 플러스 예금
60,0,33585000,0,27,Scope 재테크 챌린지 적금
47,0,72238663,0,22,BankScope 복리 자산 예금
26,0,92962575,0,35,BankScope 복리 자산 예금
28,0,70219919,0,48,Scope 청년 드림 적금
27,0,49595642,0,38,Scope 긴급 생활안정 대출
31,1,16101147,0,47,BankScope 법인 시설자금 대출
53,0,84116146,1,48,Scope 재테크 챌린지 적금
52,0,56512439,0,19,Scope 긴급 생활안정 대출
67,0,98447416,0,46,BankScope 시니어 플러스 예금
74,1,6786413,0,8,BankScope 법인 시설자금 대출
42,0,79694131,0,22,Scope 재테크 챌린지 적금
43,0,35748013,0,44,Scope 재테크 챌린지 적금
56,0,5952973,0,6,BankScope 시니어 플러스 예금
54,0,77005549,0,30,BankScope 복리 자산 예금
63,0,61295595,0,10,BankScope 시니어 플러스 예금
59,0,25604773,0,39,BankScope 시니어 플러스 예금
41,0,14605907,0,16,Scope 비상금 소액 대출
46,0,72273388,1,35,Scope 재테크 챌린지 적금
54,0,86094383,1,25,BankScope 복리 자산 예금
20,0,13932158,0,35,Scope 청년 전세 대출
54,0,56950625,0,17,BankScope 복리 자산 예금
56,0,93755322,0,30,Scope 재테크 챌린지 적금
66,0,50836546,1,48,Scope 재테크 챌린지 적금
33,0,2672969,0,34,BankScope 프리미엄 정기예금
22,0,48193363,0,40,Scope 청년 드림 적금
20,0,65124545,0,27,BankScope 복리 자산 예금
24,0,59872410,0,25,Scope 긴급 생활안정 대출
45,0,15912095,0,5,Scope 긴급 생활안정 대출
74,0,82352393,0,33,BankScope 시니어 플러스 예금
33,0,85498000,1,27,BankScope 직장인 신용 대출
58,0,44521657,0,43,Scope 재테크 챌린지 적금
46,1,3736437,0,46,BankScope 법인 시설자금 대출
28,0,43680608,0,8,Scope 청년 드림 적금
34,0,28613381,0,28,BankScope 복리 자산 예금
34,0,83045798,0,33,BankScope 복리 자산 예금
45,0,35720174,0,11,BankScope 직장인 우대 적금
61,0,53748497,1,15,BankScope 시니어 플러스 예금
79,0,97345992,0,6,BankScope 시니어 플러스 예금
32,0,9224007,0,30,Scope 청년 드림 적금
70,0,93659480,1,32,Scope 재테크 챌린지 적금
51,0,40254174,1,6,BankScope 직장인 신용 대출
58,0,57431036,0,2,BankScope 직장인 우대 적금
68,0,71802371,0,19,BankScope 시니어 플러스 예금
71,0,65913619,1,4,BankScope 시니어 플러스 예금
51,0,57157403,0,2,BankScope 복리 자산 예금
23,0,79870887,1,46,BankScope 직장인 신용 대출
49,0,21373632,0,37,Scope 재테크 챌린지 적금
56,0,8746087,0,14,BankScope 시니어 플러스 예금
42,0,12571435,0,34,Scope 비상금 소액 대출
58,0,53910550,0,22,Scope 긴급 생활안정 대출
64,0,35038136,1,32,Scope 재테크 챌린지 적금
34,0,67109678,1,1,BankScope 복리 자산 예금
62,0,2565644,0,35,Scope 재테크 챌린지 적금
48,0,58089615,1,20,Scope 재테크 챌린지 적금
55,0,9407193,0,13,Scope 비상금 소액 대출
32,0,99897014,0,13,Scope 청년 드림 적금
51,0,96408414,0,41,Scope 재테크 챌린지 적금
26,0,20975345,0,10,Scope 청년 전세 대출
78,0,73974976,0,3,BankScope 시니어 플러스 예금
70,0,94779856,0,46,BankScope 시니어 플러스 예금
41,0,15804175,0,29,Scope 재테크 챌린지 적금
47,0,41398948,0,35,Scope 재테크 챌린지 적금
21,0,3775092,0,19,Scope 청년 전세 대출
61,0,58899833,1,15,BankScope 시니어 플러스 예금
64,0,85712421,0,33,BankScope 시니어 플러스 예금
76,0,30098270,0,44,Scope 재테크 챌린지 적금
72,0,36841909,0,7,BankScope 시니어 플러스 예금
25,0,85719265,0,44,BankScope 복리 자산 예금
47,0,31151922,0,19,Scope 긴급 생활안정 대출
47,0,73861427,0,20,Scope 재테크 챌린지 적금
63,0,65505627,1,39,BankScope 시니어 플러스 예금
63,0,53600731,0,29,Scope 긴급 생활안정 대출
39,1,69035322,0,35,BankScope 법인 단기 예금
49,0,69370380,1,4,BankScope 직장인 신용 대출
30,0,86108683,0,20,Scope 청년 드림 적금
77,0,52757041,0,37,BankScope 시니어 플러스 예금
74,0,53436337,1,22,BankScope 직장인 신용 대출
47,0,87252216,1,18,BankScope 복리 자산 예금
44,0,3075702,0,9,Scope 비상금 소액 대출
58,0,16749112,0,26,BankScope 시니어 플러스 예금
52,0,13960373,1,34,BankScope 프리미엄 정기예금
20,1,15265729,0,12,BankScope 법인 단기 예금
76,0,30813959,0,8,Scope 긴급 생활안정 대출
46,0,11055209,0,16,Scope 재테크 챌린지 적금
76,1,42091656,0,30,BankScope 법인 단기 예금
71,0,77083323,1,41,Scope 재테크 챌린지 적금
32,0,63444087,0,43,Scope 청년 드림 적금
60,0,29929201,1,44,Scope 재테크 챌린지 적금
22,0,55951431,1,23,BankScope 직장인 신용 대출
58,1,38984834,1,41,BankScope 법인 단기 예금
25,1,77754124,0,18,BankScope 법인 단기 예금
27,0,13640584,1,48,Scope 청년 드림 적금
46,0,59816414,0,29,Scope 재테크 챌린지 적금
28,0,92168152,0,4,BankScope 복리 자산 예금
56,0,7004211,1,7,BankScope 직장인 우대 적금
52,0,5092331,0,36,Scope 재테크 챌린지 적금
70,0,64588918,0,46,BankScope 시니어 플러스 예금
61,1,95752044,0,35,BankScope 법인 단기 예금
63,1,26924270,0,24,BankScope 법인 시설자금 대출
43,0,5791070,0,44,Scope 비상금 소액 대출
34,0,95738748,0,48,Scope 청년 드림 적금
78,0,85067500,0,4,BankScope 시니어 플러스 예금
73,0,53661502,1,32,BankScope 직장인 신용 대출
51,0,61789790,0,21,Scope 재테크 챌린지 적금
51,0,99217232,0,46,Scope 재테크 챌린지 적금
43,0,69107182,0,41,Scope 긴급 생활안정 대출
60,0,3905592,0,24,BankScope 시니어 플러스 예금
71,0,45409205,0,42,Scope 재테크 챌린지 적금
68,1,88554898,0,49,BankScope 법인 단기 예금
68,0,4725805,1,28,Scope 비상금 소액 대출
77,0,47463005,0,44,BankScope 시니어 플러스 예금
71,0,28145289,1,29,Scope 재테크 챌린지 적금
31,0,90147184,0,47,Scope 청년 드림 적금
58,1,2506332,0,29,BankScope 법인 단기 예금
21,0,97544423,0,43,BankScope 복리 자산 예금
22,0,68085137,0,45,Scope 청년 드림 적금
68,0,54385547,0,30,Scope 긴급 생활안정 대출
56,0,17778224,1,33,BankScope 직장인 신용 대출
68,0,42744381,0,27,BankScope 시니어 플러스 예금
75,0,23803146,0,9,BankScope 시니어 플러스 예금
36,0,99993717,0,3,BankScope 복리 자산 예금
78,0,46231479,0,32,Scope 긴급 생활안정 대출
68,0,48830039,0,16,BankScope 시니어 플러스 예금
21,0,54221878,0,10,Scope 청년 드림 적금
21,0,81511576,1,6,BankScope 복리 자산 예금
47,0,62897390,0,16,BankScope 복리 자산 예금
73,0,24526088,0,27,Scope 긴급 생활안정 대출
42,0,14915851,0,16,Scope 재테크 챌린지 적금
56,0,13379696,0,40,Scope 비상금 소액 대출
51,0,31423177,0,9,BankScope 직장인 우대 적금
52,0,9253294,0,25,Scope 재테크 챌린지 적금
20,0,37798780,0,5,Scope 청년 드림 적금
38,0,66016305,1,16,BankScope 직장인 신용 대출
21,0,97345642,1,15,BankScope 복리 자산 예금
72,0,27872264,0,38,Scope 긴급 생활안정 대출
63,0,16622312,0,25,Scope 긴급 생활안정 대출
45,0,90077883,0,3,BankScope 복리 자산 예금
51,0,87963079,1,19,BankScope 복리 자산 예금
25,0,86710594,1,48,Scope 청년 드림 적금
51,0,18660177,1,40,BankScope 프리미엄 정기예금
74,0,15963106,0,10,Scope 긴급 생활안정 대출
23,1,37818512,1,22,BankScope 법인 시설자금 대출
74,0,23362275,1,32,BankScope 직장인 신용 대출
30,0,44131124,0,30,Scope 긴급 생활안정 대출
75,0,70074779,0,6,BankScope 직장인 우대 적금
78,0,74080369,0,21,Scope 긴급 생활안정 대출
36,0,95894078,0,4,BankScope 복리 자산 예금
57,0,80021902,0,36,Scope 재테크 챌린지 적금
43,0,67285115,0,0,BankScope 복리 자산 예금
24,0,62505045,0,5,BankScope 복리 자산 예금
71,0,44867141,0,44,BankScope 시니어 플러스 예금
53,0,32316335,0,46,Scope 재테크 챌린지 적금
25,0,21454024,0,3,BankScope 복리 자산 예금
41,0,80952595,0,29,BankScope 복리 자산 예금
30,0,77027018,1,29,BankScope 직장인 신용 대출
67,0,58031233,1,16,BankScope 시니어 플러스 예금
35,0,88391103,1,23,BankScope 복리 자산 예금
52,0,13288227,0,30,Scope 재테크 챌린지 적금
28,0,66140548,0,27,BankScope 복리 자산 예금
79,0,58912006,0,44,BankScope 시니어 플러스 예금
78,0,15325125,0,42,Scope 재테크 챌린지 적금
25,0,98990711,1,3,BankScope 복리 자산 예금
35,0,11070741,0,38,Scope 재테크 챌린지 적금
48,0,25983689,0,18,BankScope 복리 자산 예금
22,0,40969261,0,23,Scope 청년 드림 적금
39,0,42153127,1,6,BankScope 직장인 우대 적금
79,0,80494012,0,45,Scope 긴급 생활안정 대출
78,0,14379629,0,47,Scope 재테크 챌린지 적금
55,0,74231853,0,8,BankScope 시니어 플러스 예금
38,0,86698707,0,21,BankScope 복리 자산 예금
45,0,40882262,0,1,BankScope 직장인 우대 적금
22,0,62172828,1,26,BankScope 복리 자산 예금
38,0,29999368,0,15,Scope 청년 전세 대출
39,0,80031496,0,4,BankScope 복리 자산 예금
51,0,77089813,1,11,BankScope 직장인 신용 대출
26,0,18043582,0,25,Scope 청년 드림 적금
71,0,95970753,1,14,BankScope 시니어 플러스 예금
60,0,52965561,1,2,BankScope 직장인 신용 대출
52,1,96158021,1,8,BankScope 법인 단기 예금
59,0,83068086,0,27,BankScope 시니어 플러스 예금
58,0,71607776,0,38,BankScope 시니어 플러스 예금
37,0,35141010,1,35,BankScope 복리 자산 예금
59,0,5565902,1,24,Scope 비상금 소액 대출
20,0,951712,0,40,Scope 청년 드림 적금
30,0,90537161,0,27,Scope 청년 드림 적금
47,0,21976128,0,46,Scope 재테크 챌린지 적금
76,0,7119402,1,20,Scope 비상금 소액 대출
44,0,53574364,0,28,BankScope 복리 자산 예금
69,0,60036112,0,24,BankScope 시니어 플러스 예금
42,0,93421379,0,29,BankScope 복리 자산 예금
50,0,88111900,0,38,BankScope 복리 자산 예금
49,0,59059382,1,10,BankScope 직장인 신용 대출
61,0,72808838,0,18,Scope 재테크 챌린지 적금
54,0,6336555,0,10,BankScope 직장인 우대 적금
26,1,65888204,0,24,BankScope 법인 시설자금 대출
79,0,2858885,0,0,Scope 비상금 소액 대출
35,0,72140788,0,31,Scope 재테크 챌린지 적금
45,0,96998840,0,20,Scope 재테크 챌린지 적금
67,0,73904693,0,44,BankScope 시니어 플러스 예금
76,0,62295597,1,12,BankScope 시니어 플러스 예금
71,0,64348931,0,33,Scope 재테크 챌린지 적금
79,0,40061336,1,16,BankScope 시니어 플러스 예금
68,1,72393174,0,46,BankScope 법인 단기 예금
21,0,83402189,0,18,Scope 청년 드림 적금
20,0,67316796,0,9,Scope 청년 드림 적금
67,0,67238053,0,41,BankScope 시니어 플러스 예금
31,0,42943638,0,8,BankScope 복리 자산 예금
24,1,34586734,0,10,BankScope 법인 시설자금 대출
56,0,87182823,0,37,Scope 재테크 챌린지 적금
51,0,14326308,0,30,Scope 재테크 챌린지 적금
78,0,26780674,0,1,BankScope 직장인 우대 적금
74,0,35958242,0,23,BankScope 시니어 플러스 예금
28,0,14892044,0,41,Scope 청년 전세 대출
60,0,46058657,0,46,Scope 긴급 생활안정 대출
54,0,95301975,0,4,BankScope 직장인 우대 적금
38,0,56165824,1,49,Scope 재테크 챌린지 적금
67,0,26896715,0,29,BankScope 시니어 플러스 예금
35,0,58095698,1,38,BankScope 직장인 신용 대출
22,1,16847624,0,34,BankScope 법인 시설자금 대출
39,0,78867355,1,47,BankScope 복리 자산 예금
43,0,57452877,0,16,BankScope 복리 자산 예금
73,0,5614810,0,30,Scope 재테크 챌린지 적금
75,0,9704081,0,1,BankScope 시니어 플러스 예금
52,0,20449065,0,15,BankScope 복리 자산 예금
43,1,20682536,1,20,BankScope 법인 시설자금 대출
71,0,99885509,0,29,Scope 재테크 챌린지 적금
30,0,81117924,0,0,BankScope 복리 자산 예금
68,0,38106857,0,13,BankScope 시니어 플러스 예금
27,0,84450392,0,15,Scope 청년 드림 적금
55,1,71027020,0,8,BankScope 법인 단기 예금
57,0,72984885,0,48,Scope 재테크 챌린지 적금
59,1,64174806,0,7,BankScope 법인 시설자금 대출
39,0,32646563,0,8,BankScope 직장인 우대 적금
54,1,16404064,0,33,BankScope 법인 시설자금 대출
67,0,87566036,0,44,BankScope 시니어 플러스 예금
44,0,78416225,0,32,BankScope 복리 자산 예금
54,0,92615479,0,21,Scope 재테크 챌린지 적금
44,0,56863843,0,29,Scope 긴급 생활안정 대출
48,0,75018384,1,6,BankScope 복리 자산 예금
37,0,54713353,0,17,Scope 재테크 챌린지 적금
65,0,2541526,1,20,BankScope 시니어 플러스 예금
37,0,64648235,0,4,Scope 긴급 생활안정 대출
21,0,2336506,1,6,Scope 청년 드림 적금
73,0,12731777,0,11,BankScope 직장인 우대 적금
54,0,70862562,0,16,Scope 긴급 생활안정 대출
35,0,23102349,0,23,BankScope 복리 자산 예금
60,0,89588472,0,36,Scope 재테크 챌린지 적금
55,0,15489518,1,43,BankScope 직장인 신용 대출
52,0,17765868,0,18,Scope 긴급 생활안정 대출
23,1,92245160,0,44,BankScope 법인 시설자금 대출
52,0,88238721,0,15,BankScope 복리 자산 예금
33,0,82313746,1,24,BankScope 직장인 신용 대출
40,0,42214735,0,26,BankScope 복리 자산 예금
67,0,8679146,0,41,Scope 재테크 챌린지 적금
39,0,19441643,0,43,Scope 재테크 챌린지 적금
75,0,64929624,0,6,BankScope 시니어 플러스 예금
27,0,30754945,1,45,Scope 청년 드림 적금
26,0,1990170,0,41,Scope 청년 드림 적금
22,0,60245505,0,7,BankScope 복리 자산 예금
36,0,97534898,0,14,BankScope 복리 자산 예금
52,0,80274706,1,15,BankScope 직장인 신용 대출
67,0,1758185,0,7,BankScope 직장인 우대 적금
31,0,94685647,1,35,Scope 청년 드림 적금
78,1,85493900,0,31,BankScope 법인 단기 예금
70,0,55809967,1,16,BankScope 시니어 플러스 예금
41,0,62668031,1,35,BankScope 직장인 신용 대출
74,0,19661681,0,21,Scope 재테크 챌린지 적금
41,1,96864055,1,31,BankScope 법인 단기 예금
65,1,80452039,0,10,BankScope 법인 시설자금 대출
49,0,11454391,0,44,Scope 재테크 챌린지 적금
57,0,23714225,1,5,BankScope 시니어 플러스 예금
57,0,59895980,0,21,Scope 재테크 챌린지 적금
64,0,35209146,0,13,Scope 긴급 생활안정 대출
70,0,91846054,0,27,BankScope 시니어 플러스 예금
73,1,79862779,0,38,BankScope 법인 단기 예금
27,0,4631444,1,11,Scope 청년 전세 대출
46,0,72788983,0,26,Scope 재테크 챌린지 적금
46,0,5254200,1,0,Scope 비상금 소액 대출
53,0,85910001,0,9,BankScope 직장인 우대 적금
40,0,34143845,0,32,Scope 재테크 챌린지 적금
49,0,38733992,0,15,Scope 재테크 챌린지 적금
52,1,50290513,0,38,BankScope 법인 단기 예금
47,1,29485483,0,5,BankScope 법인 단기 예금
66,0,64680354,0,24,BankScope 시니어 플러스 예금
52,0,75949402,0,49,Scope 재테크 챌린지 적금
24,0,65023492,0,19,Scope 청년 드림 적금
79,0,94886089,0,35,Scope 긴급 생활안정 대출
67,0,636984,0,22,BankScope 시니어 플러스 예금
38,0,93814457,0,15,BankScope 복리 자산 예금
23,1,88213385,1,0,BankScope 법인 시설자금 대출
54,0,92256226,0,29,BankScope 복리 자산 예금
68,0,52939252,0,26,BankScope 시니어 플러스 예금
36,0,28147823,1,1,BankScope 복리 자산 예금
63,0,49130643,0,47,Scope 재테크 챌린지 적금
47,0,64340682,0,20,Scope 재테크 챌린지 적금
49,0,5253996,1,8,Scope 비상금 소액 대출
48,0,37698907,0,46,Scope 재테크 챌린지 적금
65,0,63343671,0,23,Scope 재테크 챌린지 적금
72,0,94919995,0,47,Scope 재테크 챌린지 적금
25,0,28158915,1,40,Scope 청년 드림 적금
54,0,81439797,1,38,BankScope 직장인 신용 대출
79,0,38076452,1,41,BankScope 시니어 플러스 예금
60,0,78053074,0,6,BankScope 직장인 우대 적금
56,0,93407012,0,29,Scope 재테크 챌린지 적금
43,0,29502452,0,44,Scope 재테크 챌린지 적금
48,1,4279565,0,1,BankScope 법인 단기 예금
68,0,74324830,1,11,BankScope 직장인 신용 대출
65,0,14900731,0,12,BankScope 직장인 우대 적금
72,1,12391651,0,2,BankScope 법인 단기 예금
50,0,36208043,0,42,Scope 재테크 챌린지 적금
54,0,9989989,0,39,Scope 재테크 챌린지 적금
79,0,40001234,0,42,BankScope 시니어 플러스 예금
52,1,94274345,0,17,BankScope 법인 단기 예금
71,1,10817558,0,38,BankScope 법인 시설자금 대출
40,0,98823615,0,43,Scope 재테크 챌린지 적금
51,0,42152731,1,5,BankScope 복리 자산 예금
42,0,98615791,1,41,Scope 재테크 챌린지 적금
52,1,29832067,0,26,BankScope 법인 시설자금 대출
22,1,95945128,1,14,BankScope 법인 단기 예금
37,0,73059003,0,14,BankScope 복리 자산 예금
44,0,30959633,0,18,Scope 긴급 생활안정 대출
61,0,40798142,0,37,Scope 긴급 생활안정 대출
50,0,40230448,0,46,Scope 재테크 챌린지 적금
73,0,7290414,0,19,Scope 비상금 소액 대출
77,0,63593074,0,19,BankScope 시니어 플러스 예금
22,0,37629656,0,17,Scope 청년 드림 적금
59,0,34899153,0,33,BankScope 시니어 플러스 예금
65,1,64988933,0,38,BankScope 법인 단기 예금
43,0,33044690,0,36,BankScope 복리 자산 예금
69,0,93495860,0,34,BankScope 시니어 플러스 예금
51,0,78580683,0,37,Scope 재테크 챌린지 적금
66,1,26064704,0,37,BankScope 법인 단기 예금
41,0,78561412,0,0,BankScope 직장인 우대 적금
42,0,80560576,0,11,BankScope 복리 자산 예금
21,0,91433070,0,4,Scope 긴급 생활안정 대출
46,0,50409002,1,26,BankScope 복리 자산 예금
61,0,44467025,0,38,BankScope 시니어 플러스 예금
21,0,59888877,0,19,Scope 청년 드림 적금
45,1,8195962,0,39,BankScope 법인 시설자금 대출
36,0,46327240,0,18,BankScope 복리 자산 예금
59,0,87155588,0,37,BankScope 시니어 플러스 예금
52,0,7017206,1,14,Scope 비상금 소액 대출
28,0,61900291,0,5,BankScope 복리 자산 예금
62,0,72813440,1,8,BankScope 시니어 플러스 예금
73,0,5886813,0,35,Scope 비상금 소액 대출
67,0,56514359,0,47,Scope 재테크 챌린지 적금
58,0,85200044,1,22,BankScope 시니어 플러스 예금
48,0,46028992,1,9,BankScope 직장인 신용 대출
61,0,68182530,1,0,BankScope 직장인 신용 대출
74,0,15006485,1,10,BankScope 직장인 신용 대출
45,1,90813383,0,48,BankScope 법인 단기 예금
54,0,15851281,0,49,Scope 재테크 챌린지 적금
69,0,42384792,0,19,Scope 재테크 챌린지 적금
44,0,31727279,0,27,Scope 긴급 생활안정 대출
43,0,21880915,0,21,Scope 긴급 생활안정 대출
32,0,73125534,0,19,Scope 청년 드림 적금
79,0,55833373,0,46,Scope 긴급 생활안정 대출
77,0,82692175,1,37,BankScope 시니어 플러스 예금
26,0,4064833,0,15,Scope 청년 전세 대출
76,0,97093426,0,1,BankScope 시니어 플러스 예금
55,0,72558835,0,24,BankScope 시니어 플러스 예금
64,0,44099125,0,26,Scope 재테크 챌린지 적금
39,0,29403984,0,2,Scope 청년 전세 대출
20,0,20766728,1,22,Scope 청년 전세 대출
27,0,2520983,0,31,Scope 청년 전세 대출
65,0,90299174,1,16,BankScope 직장인 신용 대출
35,0,89917319,0,39,Scope 재테크 챌린지 적금
33,0,36787009,0,19,Scope 긴급 생활안정 대출
31,0,88809737,0,29,Scope 청년 드림 적금
70,0,35067252,0,27,Scope 재테크 챌린지 적금
42,0,14486679,0,46,Scope 재테크 챌린지 적금
34,1,32331759,0,44,BankScope 법인 단기 예금
