age,is_corporate,total_balance,has_active_loan,recent_tx_count,target
78,0,29859883,0,25,1
70,0,2801818,0,33,0
41,0,89805666,0,9,1
47,0,87931801,0,22,1
21,0,18640248,1,48,0
61,0,38499046,0,23,1
64,0,91660146,1,12,1
76,0,41424699,0,28,1
72,0,53421457,0,45,1
25,0,94499032,0,26,1
47,0,47967799,0,30,0
47,0,80572446,1,42,0
63,0,68487012,1,9,1
63,1,15005563,0,30,2
39,0,13045088,0,38,0
49,0,33793258,0,9,1
30,0,18494570,1,23,0
77,0,25916606,0,32,1
74,0,45844447,0,13,1
47,0,67590673,0,34,1
44,0,26400656,0,44,0
58,0,41816801,1,33,1
52,0,24061606,0,16,0
20,0,37921641,0,20,0
76,0,60726516,0,31,1
46,0,47204322,0,2,1
76,0,55748445,0,14,1
71,0,28324386,0,7,1
32,0,74655555,0,31,1
60,0,5611544,1,37,1
22,0,55701663,0,25,0
58,0,2251347,0,29,1
25,0,30991473,0,8,0
27,0,4792030,0,31,0
46,1,80327555,0,10,2
28,0,19397109,1,21,1
56,0,6702245,0,33,0
52,0,8745662,0,40,0
70,0,24173742,0,17,1
61,0,78000128,0,18,1
63,0,85768066,0,17,1
43,1,51321572,0,36,2
34,0,18742845,0,17,0
78,0,34657680,0,11,1
73,0,10023293,0,3,1
51,0,21040744,0,46,0
51,0,24993085,0,42,0
43,0,76527394,0,26,1
60,0,8623353,0,4,1
71,0,48289292,1,5,1
68,0,20360866,0,12,1
68,0,28964394,0,22,0
77,0,35372654,0,41,1
71,1,89296767,1,24,1
31,0,41753855,1,45,0
58,1,84449586,0,3,2
21,0,97398709,0,31,0
22,0,8904337,1,43,0
68,0,28077868,0,14,1
56,0,58582691,0,25,1
68,0,94358493,1,41,1
75,0,89159977,0,10,1
36,0,45056232,0,8,1
78,0,354182,1,10,1
68,0,38697230,0,1,1
21,0,62289191,0,44,0
21,1,52829650,0,26,2
47,0,43985572,0,25,0
73,0,63861441,0,7,1
42,0,36471017,0,20,0
56,0,18351471,0,20,0
51,0,7012022,1,7,1
52,0,54111052,0,0,1
20,0,22324455,0,37,0
38,0,48838504,0,12,0
21,0,29649386,0,8,0
72,0,39464554,0,27,1
63,1,13482486,1,5,2
45,0,37068510,0,46,0
51,0,45658703,0,22,1
25,0,62341865,0,47,0
51,0,39517564,0,35,0
74,1,52995767,0,16,2
23,0,9699755,0,8,0
74,0,16644741,0,11,1
30,0,18875167,1,21,0
75,0,26702025,0,11,1
78,0,8927377,0,5,1
36,0,67396419,0,43,0
57,0,60521086,0,8,1
43,0,70884808,0,36,1
24,1,36298886,0,2,2
71,0,25574001,0,33,0
53,0,3197418,1,7,1
25,0,11509800,0,9,0
41,0,69897511,0,46,0
30,1,73333762,1,40,2
67,0,73487248,0,41,1
35,0,18347713,0,42,0
52,0,53023853,1,8,1
28,0,66346204,0,13,1
79,0,51754419,0,36,1
78,0,23722901,0,26,1
25,0,95443971,0,40,0
35,0,58550264,0,31,0
48,0,58061043,0,3,1
22,0,41831301,0,1,1
39,1,97915045,0,32,2
79,0,84741514,0,20,1
78,0,308697,1,0,1
55,0,78908432,1,43,1
38,0,54047447,0,10,1
45,0,55051355,1,0,1
22,1,7279074,0,45,2
38,0,46860830,0,10,0
39,0,43585013,0,6,1
51,0,56363938,0,1,1
26,0,96840079,1,14,1
71,0,37758158,0,7,1
60,0,81963626,0,46,1
52,0,32070801,0,25,1
59,0,17619822,0,39,0
58,0,56064100,0,41,0
37,0,37425981,1,34,0
59,0,55966960,0,45,0
20,0,15333352,0,40,0
30,0,87585526,0,40,0
47,0,54554786,0,20,1
76,0,17325939,0,37,1
44,0,87119020,0,7,1
69,0,93903349,0,42,1
42,0,61254178,0,31,0
50,0,21550363,1,7,1
49,0,92360038,0,43,1
61,1,79706492,0,9,2
54,0,59829093,1,22,1
26,0,93219720,0,3,1
79,0,33052558,0,47,0
35,0,39466516,0,37,0
45,0,42635059,0,29,0
67,0,7355554,0,40,0
76,0,62364649,0,22,1
71,0,51772000,1,4,1
79,0,10297650,1,20,1
68,0,1877330,0,5,1
21,0,82118710,0,48,0
20,0,38636502,1,16,1
67,0,93987148,0,24,1
31,0,42498174,0,23,0
24,0,55386027,0,21,0
56,0,57600704,1,12,1
51,0,22985303,0,16,1
78,0,47472463,0,13,1
74,0,63645080,0,33,1
28,1,84934358,1,25,2
60,0,24269034,0,18,0
54,0,55549623,0,25,1
38,0,28609573,0,2,1
67,0,58804362,0,1,1
35,0,26816706,0,27,0
22,0,77522688,1,1,1
39,0,10082304,0,21,0
43,0,65622576,0,6,1
73,0,81519304,0,3,1
75,0,39813657,0,48,1
52,1,17504684,0,37,2
43,0,85950698,0,38,0
71,0,79784284,1,19,1
30,0,20231923,0,5,1
68,1,61536101,0,8,2
27,0,98084320,0,30,0
55,0,13747550,0,25,0
57,0,95351199,0,35,1
59,0,27068277,0,25,1
39,0,73393043,0,27,0
54,0,15052662,0,4,1
67,0,12442674,0,9,1
44,0,6914128,0,17,0
54,0,45811747,0,14,1
44,0,36353090,1,32,1
48,0,41216640,0,4,1
37,0,51755889,1,36,1
65,0,84788890,0,39,0
37,1,15221492,0,21,2
21,0,96733806,0,21,0
73,0,5541543,0,21,1
54,0,54046176,0,14,1
35,1,5169619,0,16,2
60,0,39949453,0,44,1
55,0,40515939,0,27,0
52,0,82680516,0,21,1
23,0,49972694,1,20,0
52,0,12768876,0,41,0
33,0,37250043,0,16,0
40,0,26211918,0,4,1
67,1,53724037,1,17,2
39,0,32670368,0,16,0
75,0,83261970,0,3,1
27,0,41906302,0,6,0
26,0,32766156,0,24,0
22,0,97757212,0,36,0
36,0,66954181,0,39,0
52,0,59453134,1,39,0
67,0,28385743,1,42,0
31,1,73334039,0,8,2
78,0,84887702,1,18,1
70,0,3246319,0,8,1
41,1,68745481,1,22,2
74,0,98021045,0,30,1
41,0,94637992,0,31,0
65,0,32943536,1,30,1
49,0,86352784,1,16,1
57,0,27525616,0,47,0
57,0,68155115,0,38,1
64,0,285356,0,21,1
70,0,99397803,1,34,1
73,0,43467245,0,29,1
27,0,36557769,0,39,0
46,0,31147410,0,36,0
46,1,8505089,0,25,2
53,0,54594211,0,5,1
40,0,65061522,0,33,0
49,0,3275654,0,31,0
52,0,70783641,0,24,0
47,1,39787982,0,12,2
66,0,24899950,0,37,1
52,0,14918181,0,37,0
24,0,80634498,0,1,1
79,0,59930469,0,4,1
67,0,32276687,0,10,1
38,1,56256961,0,10,2
23,0,21172318,0,23,0
54,0,81921883,0,13,1
68,0,31531769,0,44,0
36,0,57155773,1,29,1
63,0,16669382,0,39,0
47,0,10450652,1,46,0
49,0,48297495,0,43,0
48,0,17089267,1,34,1
65,0,56501670,0,20,1
72,0,98346623,0,4,1
25,0,19568220,1,37,0
54,0,15099691,0,1,1
79,0,3568125,0,39,1
60,0,6656669,0,36,1
56,0,44584476,1,48,1
43,0,60496281,0,33,0
48,0,86328985,0,10,1
68,0,65520932,0,35,1
65,0,59710426,0,10,1
72,0,94008029,0,8,1
50,0,51743858,0,5,1
54,0,39579572,1,33,1
79,0,23139997,0,46,0
52,0,81293570,0,36,0
71,0,19940473,0,31,1
40,1,69783850,0,11,2
51,0,36970246,0,44,0
42,0,35504688,0,31,0
52,0,66471800,0,16,1
22,1,19580744,0,3,2
37,0,32079348,0,41,0
44,0,78905640,0,32,1
61,0,55642473,0,42,1
50,0,88140364,0,47,0
73,0,93117902,0,42,1
77,0,55146622,0,8,1
22,0,93376708,1,33,1
59,0,16237538,0,38,1
65,1,3405914,0,29,2
43,0,41720218,0,49,0
69,0,4177927,1,19,1
51,0,5032403,0,38,0
66,0,60387647,1,22,1
41,0,3229065,0,40,0
42,0,45402380,1,43,1
21,0,11607230,0,34,0
46,0,67696290,0,22,1
61,0,70539324,0,47,0
21,0,46986677,1,38,0
45,0,15090951,0,22,0
36,0,51463262,0,36,0
59,0,41557461,0,22,0
52,0,30278292,0,38,0
28,1,63707914,0,27,2
62,0,10055169,0,18,1
73,0,99016616,0,48,1
67,0,99469793,1,47,1
58,0,10293122,0,29,0
48,0,94571855,0,20,1
61,0,41018802,0,23,1
74,0,76573891,1,20,1
45,0,47850326,0,25,1
54,0,9395448,0,49,0
69,1,76478961,1,35,2
44,0,46086355,0,25,0
43,0,71668376,0,32,1
32,0,6519453,0,35,0
79,0,95546833,1,3,1
77,0,6846090,0,8,1
26,0,8607964,0,7,1
76,0,95805712,0,1,1
55,0,70104217,0,28,1
64,0,35229687,1,22,1
39,0,25650424,0,5,0
20,0,85794231,0,42,0
27,0,28082991,1,35,0
65,0,36843795,0,45,0
35,0,31634412,0,20,0
33,0,25812055,1,21,1
31,0,76267294,0,8,1
70,0,36340634,0,33,1
42,0,71318093,0,25,1
34,0,45830915,0,0,1
47,0,50220684,1,35,1
53,0,10685090,0,43,0
21,0,95032555,0,4,1
51,0,89437173,0,40,1
42,0,95521270,0,21,1
41,1,82629831,1,3,2
70,1,19169217,0,47,2
44,0,94546821,1,1,1
77,0,94500341,0,15,1
41,0,80856713,0,15,1
77,1,18010603,0,21,2
77,0,81996820,1,42,1
41,0,80303337,0,0,1
68,0,86337683,0,14,1
71,0,18274332,0,23,1
61,0,72680808,0,3,1
25,0,48681267,0,17,0
34,0,58915684,1,16,1
73,0,45837139,0,6,1
62,0,38150204,0,49,0
79,0,39296070,0,44,1
56,0,41779199,0,9,1
52,0,73690987,0,0,1
27,0,73914833,0,1,1
72,0,13773042,0,48,0
79,0,54312696,0,21,1
63,0,66698460,0,31,1
63,0,56411070,0,28,1
24,0,31154708,0,34,0
58,0,22413805,0,16,1
23,0,91832401,0,11,1
25,0,81828695,0,23,0
64,0,48788334,0,29,1
51,0,11679241,0,43,0
71,0,9571226,0,29,0
49,0,18448395,0,19,0
66,0,92370182,0,41,1
54,0,47177360,1,6,1
74,0,83489216,0,41,1
59,0,78494911,0,49,0
71,0,20005625,1,37,1
35,0,41782385,0,6,0
32,0,55230489,0,48,0
69,0,75433742,0,29,1
79,0,36568562,0,11,1
61,0,57924091,0,48,0
49,0,30076989,0,30,1
38,0,85997358,0,17,1
36,0,91861598,0,45,0
75,0,12277440,0,42,0
38,0,58637178,0,1,1
47,1,6620661,0,32,2
77,0,9929464,0,10,1
74,0,81805906,0,33,1
45,0,83418136,0,15,1
56,0,78951992,0,34,0
45,0,97780767,0,32,1
72,0,23144254,1,20,1
42,0,24349707,1,19,1
28,0,86421324,0,7,1
31,0,97216512,0,25,1
72,0,62760370,0,32,1
20,0,67577027,0,25,0
77,0,76337284,1,36,1
77,0,51101656,0,29,1
20,0,65589333,1,30,0
66,0,88384987,0,32,1
53,0,70108966,0,10,1
51,0,29097750,0,40,0
73,0,30573747,0,4,1
67,0,47906429,0,1,1
44,0,93319342,0,12,1
59,0,58018554,0,17,1
64,0,2378772,0,25,1
72,0,63806568,0,24,1
20,0,42291777,0,43,0
35,0,53153210,1,13,1
58,0,83044102,0,4,1
24,0,89626672,0,41,0
41,0,33401359,1,1,1
48,0,49922192,0,3,1
74,0,93723987,0,11,1
22,0,35066617,1,10,0
31,0,95039318,0,3,1
45,0,21040202,0,42,0
35,0,36923169,0,8,1
70,0,60015385,0,9,1
56,0,28665409,0,26,1
41,0,80351550,1,5,1
76,0,89211990,0,14,1
48,0,5363240,0,41,0
33,0,67768161,0,30,1
47,0,50106235,0,21,0
24,0,97473358,1,5,1
66,0,6985481,0,32,0
68,0,74335324,1,28,1
49,0,59883192,0,20,1
65,0,5506774,0,29,0
71,0,76086778,1,20,1
24,0,72346128,1,35,1
31,0,86120049,1,21,1
35,0,50524451,0,45,0
45,1,77157320,0,19,2
45,0,44855075,0,21,1
67,0,19230255,1,39,1
40,0,56291424,0,10,1
58,0,40906614,0,46,0
55,0,46937182,0,30,0
52,1,28462405,0,39,2
49,0,89317449,1,12,1
56,0,47039823,0,17,0
42,0,39707715,0,21,0
77,0,90018549,0,16,1
29,0,81282965,0,37,0
73,0,24998095,0,24,1
24,1,49790835,0,31,2
55,0,31474949,0,14,1
53,0,40759705,0,12,1
71,0,4528458,0,25,0
50,0,33012055,0,49,0
29,0,30900994,0,10,1
77,0,88213299,0,12,1
38,0,12779593,0,32,0
77,0,15255164,0,49,0
51,0,13979901,1,36,1
20,0,84663230,0,37,0
75,0,95592256,0,0,1
24,0,16010986,1,38,0
64,0,83803897,0,26,1
23,0,55804235,1,35,0
35,0,59491725,0,31,0
43,0,47914328,1,40,1
35,0,69430855,1,14,1
74,0,72571626,0,30,1
21,0,85562179,0,5,1
68,0,18867867,0,24,1
47,0,45658566,0,48,0
51,0,47428722,0,17,1
46,0,93049144,0,21,1
39,0,42836195,0,30,1
43,0,7123801,0,35,0
31,0,87667956,1,8,1
69,0,1897465,0,45,0
54,0,22475701,0,2,1
79,0,21442986,0,32,1
52,0,77568041,0,26,1
52,0,30548432,0,42,0
70,0,60036717,1,0,1
62,0,8536341,0,43,0
56,0,79526723,0,8,1
31,1,92569665,1,4,2
22,0,53055654,1,14,1
20,0,1119816,0,49,0
52,0,61448594,0,8,1
59,0,66400143,0,44,0
29,0,5168949,0,27,0
62,0,54302831,1,12,1
63,0,37526801,0,23,1
48,0,88436118,0,44,1
32,0,16772468,1,9,1
31,0,98390612,0,41,0
50,0,69579814,1,21,1
65,0,8789784,0,38,0
21,0,1043423,0,21,0
70,0,60573085,0,36,1
69,0,8315308,0,38,1
54,1,52849274,0,19,2
42,0,4609635,0,9,0
36,0,63819058,0,9,1
45,0,86685025,1,25,1
27,0,19880139,0,24,0
48,0,63658241,0,27,0
45,0,9254404,0,12,0
29,0,28119485,1,14,1
45,0,40170675,0,5,1
53,0,36692309,0,11,1
70,0,4448388,0,18,1
60,0,91256643,0,31,1
26,1,94386428,0,10,2
23,0,14823516,0,37,0
77,0,33203861,0,32,0
72,0,28473481,1,1,1
69,0,1594575,1,14,1
64,0,39700092,0,35,0
30,0,68841193,0,4,1
48,0,85281074,0,14,1
75,0,21291273,0,42,0
55,0,85432637,1,9,1
44,0,57730160,0,16,0
40,0,90971012,0,33,0
76,0,95360377,1,23,1
55,0,88854981,0,9,1
29,0,96524478,0,29,0
56,0,63649207,0,2,1
28,0,29882,0,36,0
43,0,36229950,0,2,1
54,0,95217006,0,39,1
68,0,9675864,0,4,1
54,0,98150586,0,27,1
67,0,12757810,0,43,0
55,0,68507569,0,13,1
37,0,48540668,0,38,0
68,0,39766147,0,10,1
58,0,40358759,0,7,1
51,0,88703610,0,36,1
43,0,23711279,0,7,1
42,0,50888479,0,11,1
51,0,59368823,0,14,1
56,1,81818290,0,18,2
31,1,42772387,0,47,2
68,0,5132869,0,45,0
74,0,92964205,0,27,1
32,0,8762127,0,6,0
42,0,41036858,1,39,0
44,0,48705554,0,6,1
54,0,7111905,1,29,1
60,1,97312216,0,17,2
49,0,61762654,0,23,0
36,0,13859696,0,5,0
68,0,52362536,0,3,1
39,0,1037904,0,2,0
67,1,5634222,0,48,2
44,0,83490406,1,46,1
41,0,83763253,1,5,1
32,0,90274486,0,25,1
78,0,61930813,1,43,1
38,0,77080924,1,37,1
68,0,31326650,1,10,1
55,0,15176259,0,28,1
31,0,91528977,0,19,1
60,0,48927001,0,9,1
38,0,75770215,0,25,0
31,0,92609426,1,47,1
28,0,73876278,0,26,0
26,0,13315702,0,49,0
47,0,56232827,1,13,1
33,0,14932920,0,35,0
50,0,29644421,1,11,1
71,0,58585728,0,22,1
38,0,74122247,0,20,0
77,0,45230048,0,7,1
66,0,50528818,0,38,1
35,0,39168490,0,8,1
72,0,38977876,1,23,1
24,0,4374296,1,30,0
54,1,29154998,0,24,2
31,0,57831103,0,16,1
44,0,7782634,1,41,0
71,0,27874386,0,28,1
78,0,21767260,0,2,1
40,0,32469815,1,20,1
55,0,95503627,1,7,1
72,1,95546950,0,13,2
42,1,73933328,0,38,2
35,0,95856572,0,15,1
76,0,86587513,0,17,1
58,0,76483451,1,30,1
64,1,90486793,1,10,2
72,1,84721438,0,37,2
61,0,43735877,0,19,1
77,0,85857552,1,45,1
58,0,33056049,0,44,0
33,0,96673572,0,3,1
50,0,84965309,1,19,1
77,0,51472089,0,30,1
24,0,12012272,0,19,0
54,0,30010229,0,10,1
42,0,17971663,0,49,0
48,1,33221319,0,0,2
62,0,90426071,0,43,0
30,0,85473996,1,17,1
37,0,35788700,0,38,0
66,0,6442399,0,43,0
31,0,63134935,0,32,0
28,0,19380303,0,35,0
29,0,14569226,0,17,0
77,0,16274309,0,46,0
63,0,12206970,0,30,0
36,0,4961826,0,34,0
57,0,73745572,1,38,1
26,0,9672204,0,37,0
65,0,33604324,0,14,1
32,0,90359129,0,46,0
59,0,21849453,0,5,1
61,0,8734143,0,7,1
28,0,40125952,0,39,0
69,0,6060297,0,21,0
46,0,76280531,1,0,1
77,0,52554502,0,12,1
21,0,46210871,0,23,0
24,1,87178319,0,20,2
48,0,68023972,0,44,0
56,0,99316124,1,42,1
57,0,55208971,0,3,1
38,0,19161488,0,6,0
27,0,99850031,0,11,0
67,0,28132051,0,12,1
64,1,53152025,0,43,2
20,0,1418351,1,15,1
41,0,4917970,0,5,0
71,0,3726713,0,13,0
36,0,42537710,0,47,0
26,0,59523339,0,30,0
44,0,33734548,1,35,1
64,0,62929193,0,36,1
23,0,96548156,0,40,0
55,0,99019260,0,34,0
25,0,21825461,0,9,0
79,0,29483553,0,16,1
50,0,16616198,0,41,0
38,0,97907234,0,29,1
63,0,26394560,1,43,1
73,0,51584473,0,6,1
58,0,86188770,1,17,1
46,0,82254360,0,18,1
29,0,67831017,0,14,1
45,1,28778554,0,38,2
38,0,3446010,1,43,0
58,0,49215310,0,21,1
22,0,73601786,0,38,0
64,1,19346611,0,41,2
32,0,66544334,1,29,1
69,0,3332951,1,19,1
47,0,61714580,0,31,0
77,0,67420280,1,41,1
39,0,50469628,0,24,0
47,1,74238207,1,22,2
27,0,13603581,0,4,0
60,0,22612831,0,49,0
58,1,72033055,0,40,2
20,0,13970740,0,29,0
22,0,65447994,0,47,0
32,0,12809213,0,38,0
47,0,49192004,0,26,0
76,0,34379197,0,41,0
79,0,17684867,0,36,0
68,0,76891221,1,6,1
44,0,22824162,1,4,1
75,0,97380944,1,14,1
52,0,66871281,0,41,0
57,1,90588785,0,7,2
72,0,17767607,1,8,1
25,1,50095425,1,10,2
77,0,23612300,0,21,1
63,0,67695933,0,33,1
64,0,87833141,0,34,1
51,0,56530628,0,12,1
64,0,69424002,0,10,1
66,0,49633572,0,31,1
40,0,40140674,1,41,1
35,0,29875646,0,14,0
73,0,67658530,0,37,1
40,0,71091891,0,0,1
30,0,41230294,1,45,0
79,0,65316731,0,49,1
56,0,93441435,0,23,1
55,0,41901563,0,42,0
54,0,45827857,0,39,0
38,0,71891833,0,21,0
39,0,28301216,0,2,1
76,0,69168281,0,13,1
37,0,41351983,0,1,1
66,0,7794087,0,31,0
60,0,52740007,0,47,1
68,0,21587590,0,37,0
33,0,85718840,1,32,1
34,0,65090055,0,45,0
50,0,52774015,0,41,0
20,0,97391988,0,5,1
72,0,99211831,0,40,1
73,0,31227450,0,38,1
73,0,36093497,0,24,1
22,0,94431407,0,33,0
35,0,14989214,1,10,1
42,0,18803307,1,45,0
76,0,31695058,1,36,1
30,0,59910590,0,40,0
31,0,12489289,0,6,0
29,0,3731622,0,45,0
51,0,47466955,0,47,0
35,0,91671443,0,21,0
27,0,48860516,0,47,0
57,0,76213551,0,38,1
31,0,13595880,0,9,0
43,0,36642118,0,20,0
47,0,954227,0,5,0
72,0,12832377,0,48,0
27,1,61041997,1,0,2
77,0,30691270,0,33,1
47,0,37626908,0,13,1
55,0,45964380,0,35,0
45,0,88714056,0,26,1
27,0,31334729,0,8,0
77,0,41813714,1,5,1
79,0,10306743,1,30,1
69,0,69560414,0,16,1
47,0,69190416,0,42,0
47,0,99158664,0,35,1
56,0,64630508,0,20,1
60,0,98982817,1,26,1
55,0,99029932,0,40,1
46,0,30120919,1,27,1
73,0,31225096,0,15,1
36,0,17955858,0,34,0
28,1,72490726,0,35,2
52,0,66993650,0,34,1
72,0,15233162,0,44,0
39,0,11030140,0,18,0
32,0,16210635,0,20,0
47,0,77128441,0,32,1
67,0,68843305,0,22,1
48,0,51584524,0,5,1
32,0,96759691,0,31,1
65,0,44636414,0,21,1
54,0,41491540,0,2,1
25,0,2960841,0,34,0
37,0,24522289,1,15,1
70,0,14115491,0,41,0
24,0,36147291,0,24,0
66,0,7992388,0,16,1
44,0,89653284,1,38,1
21,0,91582204,0,12,1
29,1,75988985,0,27,2
75,1,80027516,0,10,2
49,0,83421863,0,9,1
69,0,46267957,0,38,0
78,0,87061681,0,23,1
64,0,68849448,1,37,1
24,0,87103276,1,23,1
74,0,30173030,0,32,1
75,0,45809257,0,16,1
52,0,38805640,0,43,0
73,0,58857661,0,35,1
20,0,90953343,0,34,0
37,0,92395861,0,5,1
51,0,38998987,0,15,1
66,0,58568491,0,44,0
68,0,61227669,0,27,1
30,0,96116517,0,40,0
40,0,35659471,0,31,0
45,0,52396446,0,25,0
44,0,53182066,0,10,1
41,0,36674242,1,24,1
78,0,97542486,1,30,1
46,0,34376361,0,20,1
68,0,73756026,0,44,1
32,0,88796753,0,2,1
52,0,64237209,0,11,1
53,0,70881081,0,39,1
60,0,48754833,0,45,0
54,1,35582274,0,40,2
20,0,89098361,0,24,0
40,0,74827606,1,16,1
67,0,27553666,0,37,0
74,0,99604790,0,35,1
25,1,69415512,0,35,2
47,0,67103289,0,18,1
36,0,60196331,0,43,0
24,0,50023219,0,1,1
50,0,25474534,0,16,1
24,0,37458301,1,29,0
57,0,79773767,0,46,0
22,0,52783624,1,9,1
72,1,16018797,0,34,2
42,0,10740829,0,35,0
56,0,55011666,0,32,0
72,0,69889460,0,0,1
56,0,4040015,1,17,1
29,0,71979671,0,3,1
29,0,87963491,0,46,0
38,0,74065902,0,26,0
36,0,89642237,0,24,1
40,0,96270916,0,27,1
33,1,93740429,0,21,2
28,0,7356148,1,41,0
65,0,16304297,0,24,1
20,0,19578545,0,16,0
70,0,14370051,0,43,1
64,0,14885447,0,11,1
32,0,59012055,0,15,1
23,0,75686346,1,36,0
